# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar 30 11:27:40 2017
#
# CONSTRAINT:  where (pl_pnum > 1
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_massblend:   Stellar Mass Blend Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_radblend:    Stellar Radius Blend Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_rade:        Planet Radius [Earth radii]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Planet Radius Limit Flag
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim
76,CoRoT-24,b,Transit,2,5.11340000,0.00060000,-0.00060000,0,0.056000,0.002000,-0.002000,0,0.000000,,,0,86.500,2.000,-2.000,0,0.01800,,,1,Mass,0.330,0.040,-0.040,0,0.90000,,,1,0,0,0,0.91,0.09,-0.09,0,0,0.86,0.09,-0.09,0,0,2014-06-11,3.700,0.400,-0.400,0
77,CoRoT-24,c,Transit,2,11.75900000,0.00630000,-0.00630000,0,0.098000,0.003000,-0.003000,0,0.000000,,,0,89.000,1.000,-1.600,0,0.08800,0.03500,-0.03500,0,Mass,0.440,0.040,-0.040,0,1.30000,0.50000,-0.40000,0,0,0,0,0.91,0.09,-0.09,0,0,0.86,0.09,-0.09,0,0,2014-06-11,5.000,0.500,-0.500,0
87,CoRoT-7,b,Transit,2,0.85359159,0.00000057,-0.00000057,0,0.017016,0.000170,-0.000036,0,0.000000,,,0,80.780,0.510,-0.230,0,0.01800,0.00300,-0.00300,0,Mass,0.141,0.006,-0.006,0,7.50000,1.40000,-1.40000,0,0,0,0,0.91,0.02,-0.02,0,0,0.82,0.02,-0.02,0,0,2015-03-05,1.585,0.064,-0.064,0
88,CoRoT-7,c,Radial Velocity,2,3.69800000,0.00300000,-0.00300000,0,0.046000,,,0,0.000000,,,0,80.000,,,0,0.02643,0.00283,-0.00283,0,Mass,,,,,,,,,0,0,0,0.91,0.02,-0.02,0,0,0.82,0.02,-0.02,0,0,2015-09-10,,,,
101,EPIC 220674823,b,Transit,2,0.57130800,0.00003000,-0.00003000,0,,,,,0.000000,,,0,80.200,7.000,-10.700,0,,,,,,0.130,0.012,-0.012,0,,,,,0,0,1,0.93,0.01,-0.01,0,0,0.83,0.04,-0.04,0,0,2017-01-26,1.460,0.140,-0.140,0
102,EPIC 220674823,c,Transit,2,13.34124500,0.00010000,-0.00010000,0,,,,,0.000000,,,0,87.200,0.500,-13.700,0,,,,,,0.226,0.012,-0.012,0,,,,,0,0,1,0.93,0.01,-0.01,0,0,0.83,0.04,-0.04,0,0,2017-01-26,2.530,0.140,-0.140,0
108,GJ 163,b,Radial Velocity,3,8.63182000,0.00155000,-0.00155000,0,0.060700,0.000010,-0.000010,0,0.073000,0.050000,-0.050000,0,,,,,0.03335,0.00189,-0.00189,0,Msini,,,,,,,,,0,0,0,0.40,0.02,-0.02,0,0,,,,,,2017-01-26,,,,
109,GJ 163,c,Radial Velocity,3,25.63058000,0.02550000,-0.02550000,0,0.125400,0.000100,-0.000100,0,0.099000,0.086000,-0.086000,0,,,,,0.02140,0.00283,-0.00283,0,Msini,,,,,,,,,0,0,0,0.40,0.02,-0.02,0,0,,,,,,2017-01-26,,,,
110,GJ 163,d,Radial Velocity,3,603.95116000,7.55862000,-7.55862000,0,1.030400,0.008600,-0.008600,0,0.373000,0.077000,-0.077000,0,,,,,0.09250,0.00912,-0.00912,0,Msini,,,,,,,,,0,0,0,0.40,0.02,-0.02,0,0,,,,,,2017-01-26,,,,
112,GJ 273,b,Radial Velocity,2,18.64980000,0.00590000,-0.00520000,0,0.091101,0.000019,-0.000017,0,0.100000,0.090000,-0.070000,0,,,,,0.00909,0.00085,-0.00082,0,Msini,,,,,,,,,0,0,0,0.29,,,0,0,0.29,0.03,-0.03,0,0,2017-03-30,,,,
113,GJ 273,c,Radial Velocity,2,4.72340000,0.00040000,-0.00040000,0,0.036467,0.000002,-0.000002,0,0.170000,0.130000,-0.120000,0,,,,,0.00371,0.00050,-0.00050,0,Msini,,,,,,,,,0,0,0,0.29,,,0,0,0.29,0.03,-0.03,0,0,2017-03-30,,,,
115,GJ 3138,b,Radial Velocity,3,1.22003000,0.00006000,-0.00004000,0,0.019700,0.000500,-0.000500,0,0.190000,0.180000,-0.130000,0,,,,,0.00560,0.00107,-0.00104,0,Msini,,,,,,,,,0,0,0,0.68,,,0,0,0.50,0.03,-0.03,0,0,2017-03-30,,,,
116,GJ 3138,c,Radial Velocity,3,5.97400000,0.00100000,-0.00100000,0,0.057000,0.001000,-0.001000,0,0.110000,0.110000,-0.070000,0,,,,,0.01315,0.00192,-0.00186,0,Msini,,,,,,,,,0,0,0,0.68,,,0,0,0.50,0.03,-0.03,0,0,2017-03-30,,,,
117,GJ 3138,d,Radial Velocity,3,257.80000000,3.60000000,-3.50000000,0,0.698000,0.018000,-0.019000,0,0.320000,0.200000,-0.210000,0,,,,,0.03304,0.00724,-0.00661,0,Msini,,,,,,,,,0,0,0,0.68,,,0,0,0.50,0.03,-0.03,0,0,2017-03-30,,,,
120,GJ 3293,b,Radial Velocity,4,30.59870000,0.00830000,-0.00840000,0,0.143390,0.000030,-0.000030,0,0.060000,0.040000,-0.040000,0,,,,,0.07406,0.00277,-0.00280,0,Msini,,,,,,,,,0,0,0,0.42,,,0,0,0.40,0.03,-0.03,0,0,2017-03-30,,,,
121,GJ 3293,c,Radial Velocity,4,122.61960000,0.24290000,-0.23710000,0,0.361750,0.000480,-0.000470,0,0.110000,0.100000,-0.080000,0,,,,,0.06636,0.00390,-0.00396,0,Msini,,,,,,,,,0,0,0,0.42,,,0,0,0.40,0.03,-0.03,0,0,2017-03-30,,,,
122,GJ 3293,d,Radial Velocity,4,48.13450000,0.06280000,-0.06610000,0,0.193940,0.000170,-0.000180,0,0.120000,0.130000,-0.090000,0,,,,,0.02391,0.00330,-0.00330,0,Msini,,,,,,,,,0,0,0,0.42,,,0,0,0.40,0.03,-0.03,0,0,2017-03-30,,,,
123,GJ 3293,e,Radial Velocity,4,13.25430000,0.00780000,-0.01040000,0,0.082080,0.000030,-0.000040,0,0.210000,0.200000,-0.140000,0,,,,,0.01032,0.00201,-0.00201,0,Msini,,,,,,,,,0,0,0,0.42,,,0,0,0.40,0.03,-0.03,0,0,2017-03-30,,,,
124,GJ 3323,b,Radial Velocity,2,5.36360000,0.00070000,-0.00070000,0,0.032820,0.000540,-0.000560,0,0.230000,0.110000,-0.110000,0,,,,,0.00636,0.00082,-0.00079,0,Msini,,,,,,,,,0,0,0,0.16,,,0,0,0.12,0.03,-0.03,0,0,2017-03-30,,,,
125,GJ 3323,c,Radial Velocity,2,40.54000000,0.21000000,-0.19000000,0,0.126400,0.002100,-0.002200,0,0.170000,0.210000,-0.120000,0,,,,,0.00727,0.00157,-0.00154,0,Msini,,,,,,,,,0,0,0,0.16,,,0,0,0.12,0.03,-0.03,0,0,2017-03-30,,,,
129,GJ 3998,b,Radial Velocity,2,2.64977000,0.00081000,-0.00077000,0,0.029000,0.001000,-0.001000,0,0.000000,,,0,,,,,0.00777,0.00085,-0.00085,0,Msini,,,,,,,,,0,0,0,0.50,0.05,-0.05,0,0,0.49,0.05,-0.05,0,0,2016-07-28,,,,
130,GJ 3998,c,Radial Velocity,2,13.74000000,0.01600000,-0.01600000,0,0.089000,0.003000,-0.003000,0,0.049000,0.052000,-0.034000,0,,,,,0.01970,0.00249,-0.00239,0,Msini,,,,,,,,,0,0,0,0.50,0.05,-0.05,0,0,0.49,0.05,-0.05,0,0,2016-07-28,,,,
135,GJ 581,b,Radial Velocity,3,5.36860000,0.00010000,-0.00010000,0,0.040610,0.000030,-0.000030,0,0.000000,0.030000,-0.030000,0,,,,,0.04970,0.00090,-0.00090,0,Msini,,,,,,,,,0,0,0,0.31,0.02,-0.02,0,0,0.29,,,0,0,2014-07-09,,,,
136,GJ 581,c,Radial Velocity,3,12.91400000,0.00200000,-0.00200000,0,0.072100,0.000300,-0.000300,0,0.000000,0.060000,-0.060000,0,,,,,0.01730,0.00090,-0.00090,0,Msini,,,,,,,,,0,0,0,0.31,0.02,-0.02,0,0,0.29,,,0,0,2014-07-09,,,,
137,GJ 581,e,Radial Velocity,3,3.14900000,0.00020000,-0.00020000,0,0.028150,0.000060,-0.000060,0,0.000000,0.060000,-0.060000,0,,,,,0.00530,0.00060,-0.00060,0,Msini,,,,,,,,,0,0,0,0.31,0.02,-0.02,0,0,0.29,,,0,0,2014-07-09,,,,
139,GJ 667 C,b,Radial Velocity,5,7.20040000,0.00170000,-0.00170000,0,0.050500,0.004400,-0.005300,0,0.130000,0.100000,-0.110000,0,,,,,0.01800,0.00400,-0.00400,0,Msini,,,,,,,,,0,0,0,0.33,0.02,-0.02,0,0,,,,,0,2014-05-14,,,,
140,GJ 667 C,c,Radial Velocity,5,28.14000000,0.05300000,-0.06500000,0,0.125000,0.012000,-0.013000,0,0.020000,0.150000,-0.020000,0,,,,,0.01200,0.00500,-0.00400,0,Msini,,,,,,,,,0,0,0,0.33,0.02,-0.02,0,0,,,,,0,2014-05-14,,,,
141,GJ 667 C,e,Radial Velocity,5,62.24000000,0.55000000,-0.55000000,0,0.213000,0.019000,-0.022000,0,0.020000,0.220000,-0.020000,0,,,,,0.00800,0.00500,-0.00400,0,Msini,,,,,,,,,0,0,0,0.33,0.02,-0.02,0,0,,,,,0,2014-05-14,,,,
142,GJ 667 C,f,Radial Velocity,5,39.02600000,0.19400000,-0.21100000,0,0.156000,0.014000,-0.017000,0,0.030000,0.160000,-0.030000,0,,,,,0.00800,0.00400,-0.00400,0,Msini,,,,,,,,,0,0,0,0.33,0.02,-0.02,0,0,,,,,0,2014-05-14,,,,
143,GJ 667 C,g,Radial Velocity,5,256.20000000,13.80000000,-7.90000000,0,0.549000,0.052000,-0.058000,0,0.080000,0.410000,-0.080000,0,,,,,0.01400,0.00800,-0.00700,0,Msini,,,,,,,,,0,0,0,0.33,0.02,-0.02,0,0,,,,,0,2014-05-14,,,,
145,GJ 676 A,b,Radial Velocity,4,1051.10000000,0.40000000,-0.40000000,0,1.812000,0.002000,-0.001000,0,0.323000,0.002000,-0.002000,0,45.000,21.000,-11.000,0,6.70000,1.80000,-1.50000,0,Mass,,,,,,,,,0,0,0,0.71,0.04,-0.04,0,0,,,,,0,2016-09-29,,,,
146,GJ 676 A,c,Radial Velocity,4,7337.00000000,95.00000000,-92.00000000,0,6.600000,0.100000,-0.100000,0,,,,,,,,,6.80000,0.10000,-0.10000,0,Msini,,,,,,,,,0,0,0,0.71,0.04,-0.04,0,0,,,,,0,2016-09-29,,,,
147,GJ 676 A,d,Radial Velocity,4,3.60050000,0.00020000,-0.00020000,0,,,,,0.262000,0.090000,-0.101000,0,,,,,0.01400,0.00100,-0.00100,0,Msini,,,,,,,,,0,0,0,0.71,0.04,-0.04,0,0,,,,,0,2016-09-29,,,,
148,GJ 676 A,e,Radial Velocity,4,35.39000000,0.03000000,-0.04000000,0,,,,,0.125000,0.119000,-0.087000,0,,,,,0.02500,0.00200,-0.00200,0,Msini,,,,,,,,,0,0,0,0.71,0.04,-0.04,0,0,,,,,0,2016-09-29,,,,
150,GJ 832,b,Radial Velocity,2,3657.00000000,104.00000000,-104.00000000,0,3.560000,0.280000,-0.280000,0,0.080000,0.020000,-0.060000,0,,,,,0.68000,0.09000,-0.09000,0,Msini,,,,,,,,,0,0,0,0.45,0.05,-0.05,0,0,,,,,0,2014-06-25,,,,
151,GJ 832,c,Radial Velocity,2,35.68000000,0.03000000,-0.03000000,0,0.163000,0.006000,-0.006000,0,0.180000,0.130000,-0.130000,0,,,,,0.01700,0.00300,-0.00300,0,Msini,,,,,,,,,0,0,0,0.45,0.05,-0.05,0,0,,,,,0,2014-06-25,,,,
154,GJ 876,b,Radial Velocity,4,61.11660000,0.00860000,-0.00860000,0,0.208317,0.000020,-0.000020,0,0.032400,0.001300,-0.001300,0,59.000,,,0,2.27560,0.00450,-0.00450,0,Mass,,,,,,,,,0,0,0,0.33,0.03,-0.03,0,0,,,,,0,2014-08-27,,,,
155,GJ 876,c,Radial Velocity,4,30.08810000,0.00820000,-0.00820000,0,0.129590,0.000024,-0.000024,0,0.255910,0.000930,-0.000930,0,59.000,,,0,0.71420,0.00390,-0.00390,0,Mass,,,,,,,,,0,0,0,0.33,0.03,-0.03,0,0,,,,,0,2014-08-27,,,,
156,GJ 876,d,Radial Velocity,4,1.93778000,0.00002000,-0.00002000,0,0.020807,0.000000,0.000000,0,0.207000,0.055000,-0.055000,0,59.000,,,0,0.02100,0.00100,-0.00100,0,Mass,,,,,,,,,0,0,0,0.33,0.03,-0.03,0,0,,,,,0,2014-08-27,,,,
157,GJ 876,e,Radial Velocity,4,124.26000000,0.70000000,-0.70000000,0,0.334300,0.001300,-0.001300,0,0.055000,0.012000,-0.012000,0,59.000,,,0,0.04600,0.00500,-0.00500,0,Mass,,,,,,,,,0,0,0,0.33,0.03,-0.03,0,0,,,,,0,2014-08-27,,,,
164,HAT-P-13,b,Transit,2,2.91625000,0.00001500,-0.00001500,0,,,,,0.013300,0.004100,-0.004100,0,83.400,0.680,-0.680,0,0.85100,0.03800,-0.03800,0,Mass,1.272,0.065,-0.065,0,,,,,1,0,0,1.22,0.05,-0.10,0,0,1.56,0.08,-0.08,0,0,2014-10-15,14.258,0.729,-0.729,0
165,HAT-P-13,c,Radial Velocity,2,446.27000000,0.22000000,-0.22000000,0,,,,,0.661600,0.005400,-0.005400,0,,,,,14.28000,0.28000,-0.28000,0,Msini,,,,,,,,,0,0,0,1.22,0.05,-0.10,0,0,1.56,0.08,-0.08,0,0,2014-05-16,,,,
